Geolocation,Commodity,Date_String,Price,Date,Month_Index
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 January,32.66,1/1/2022,12
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 February,37.09,2/1/2022,13
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 March,35.65,3/1/2022,14
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 April,45.82,4/1/2022,15
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 May,58.75,5/1/2022,16
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 June,61.61,6/1/2022,17
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 July,62.76,7/1/2022,18
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 August,63.76,8/1/2022,19
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 September,43.26,9/1/2022,20
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 October,52.6,10/1/2022,21
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 November,82.03,11/1/2022,22
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2022 December,97.12,12/1/2022,23
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 January,81.5,1/1/2023,24
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 February,72.88,2/1/2023,25
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 March,68.86,3/1/2023,26
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 April,71.78,4/1/2023,27
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 May,57.59,5/1/2023,28
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 June,47.28,6/1/2023,29
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 July,43.85,7/1/2023,30
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 August,47.36,8/1/2023,31
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 September,47.41,9/1/2023,32
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 October,53.26,10/1/2023,33
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 November,42.78,11/1/2023,34
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2023 December,40.92,12/1/2023,35
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 January,76.6,1/1/2024,36
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 February,94.64,2/1/2024,37
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 March,98.89,3/1/2024,38
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 April,115,4/1/2024,39
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 May,105,5/1/2024,40
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 June,105,6/1/2024,41
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 July,60,7/1/2024,42
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 August,90,8/1/2024,43
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 September,36.36,9/1/2024,44
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 October,49.75,10/1/2024,45
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 November,176.88,11/1/2024,46
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2024 December,64.09,12/1/2024,47
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 January,85,1/1/2025,48
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 February,598,2/1/2025,49
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 March,115,3/1/2025,50
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 April,150,4/1/2025,51
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 May,50,5/1/2025,52
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 June,30,6/1/2025,53
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 July,58.44,7/1/2025,54
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 August,50.68,8/1/2025,55
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 September,53.53,9/1/2025,56
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 October,75,10/1/2025,57
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 November,100,11/1/2025,58
MIMAROPA REGION,Chili pepper fruit (Siling labuyo),2025 December,100,12/1/2025,59
MIMAROPA REGION,"Garlic, dried bulb",2021 March,113.21,3/1/2021,2
MIMAROPA REGION,"Garlic, dried bulb",2021 April,75.73,4/1/2021,3
MIMAROPA REGION,"Garlic, dried bulb",2021 May,82.66,5/1/2021,4
MIMAROPA REGION,"Garlic, dried bulb",2021 June,100,6/1/2021,5
MIMAROPA REGION,"Garlic, dried bulb",2022 January,75,1/1/2022,12
MIMAROPA REGION,"Garlic, dried bulb",2022 February,58.85,2/1/2022,13
MIMAROPA REGION,"Garlic, dried bulb",2022 March,107.45,3/1/2022,14
MIMAROPA REGION,"Garlic, dried bulb",2022 April,110.03,4/1/2022,15
MIMAROPA REGION,"Garlic, dried bulb",2022 May,118.29,5/1/2022,16
MIMAROPA REGION,"Garlic, dried bulb",2022 July,81.05,7/1/2022,18
MIMAROPA REGION,"Garlic, dried bulb",2022 August,67.27,8/1/2022,19
MIMAROPA REGION,"Garlic, dried bulb",2022 September,63.33,9/1/2022,20
MIMAROPA REGION,"Garlic, dried bulb",2022 October,70,10/1/2022,21
MIMAROPA REGION,"Garlic, dried bulb",2023 February,71.57,2/1/2023,25
MIMAROPA REGION,"Garlic, dried bulb",2023 March,102.69,3/1/2023,26
MIMAROPA REGION,"Garlic, dried bulb",2023 April,110.31,4/1/2023,27
MIMAROPA REGION,"Garlic, dried bulb",2023 May,64.9,5/1/2023,28
MIMAROPA REGION,"Garlic, dried bulb",2023 August,35,8/1/2023,31
MIMAROPA REGION,"Garlic, dried bulb",2024 March,150,3/1/2024,38
MIMAROPA REGION,"Garlic, dried bulb",2024 April,85,4/1/2024,39
MIMAROPA REGION,"Garlic, dried bulb",2024 May,80,5/1/2024,40
MIMAROPA REGION,"Garlic, dried bulb",2024 June,80,6/1/2024,41
MIMAROPA REGION,"Garlic, dried bulb",2025 April,93.33,4/1/2025,51
MIMAROPA REGION,"Garlic, dried bulb",2025 May,85,5/1/2025,52
MIMAROPA REGION,"Garlic, dried bulb",2025 June,80,6/1/2025,53
MIMAROPA REGION,"Ginger, Hawaiian",2021 January,45.44,1/1/2021,0
MIMAROPA REGION,"Ginger, Hawaiian",2021 February,43.98,2/1/2021,1
MIMAROPA REGION,"Ginger, Hawaiian",2021 March,55.87,3/1/2021,2
MIMAROPA REGION,"Ginger, Hawaiian",2021 April,49.93,4/1/2021,3
MIMAROPA REGION,"Ginger, Hawaiian",2021 May,54.69,5/1/2021,4
MIMAROPA REGION,"Ginger, Hawaiian",2021 June,61.72,6/1/2021,5
MIMAROPA REGION,"Ginger, Hawaiian",2021 July,66.07,7/1/2021,6
MIMAROPA REGION,"Ginger, Hawaiian",2021 August,71.2,8/1/2021,7
MIMAROPA REGION,"Ginger, Hawaiian",2021 September,45.43,9/1/2021,8
MIMAROPA REGION,"Ginger, Hawaiian",2021 October,40.6,10/1/2021,9
MIMAROPA REGION,"Ginger, Hawaiian",2021 November,33.51,11/1/2021,10
MIMAROPA REGION,"Ginger, Hawaiian",2021 December,32.18,12/1/2021,11
MIMAROPA REGION,"Ginger, Hawaiian",2022 January,29.91,1/1/2022,12
MIMAROPA REGION,"Ginger, Hawaiian",2022 February,31.44,2/1/2022,13
MIMAROPA REGION,"Ginger, Hawaiian",2022 March,31.64,3/1/2022,14
MIMAROPA REGION,"Ginger, Hawaiian",2022 April,33.7,4/1/2022,15
MIMAROPA REGION,"Ginger, Hawaiian",2022 May,37.41,5/1/2022,16
MIMAROPA REGION,"Ginger, Hawaiian",2022 June,34.33,6/1/2022,17
MIMAROPA REGION,"Ginger, Hawaiian",2022 July,29.65,7/1/2022,18
MIMAROPA REGION,"Ginger, Hawaiian",2022 August,26.72,8/1/2022,19
MIMAROPA REGION,"Ginger, Hawaiian",2022 September,28.79,9/1/2022,20
MIMAROPA REGION,"Ginger, Hawaiian",2022 October,28.33,10/1/2022,21
MIMAROPA REGION,"Ginger, Hawaiian",2022 November,28.91,11/1/2022,22
MIMAROPA REGION,"Ginger, Hawaiian",2022 December,27.39,12/1/2022,23
MIMAROPA REGION,"Ginger, Hawaiian",2023 January,28.1,1/1/2023,24
MIMAROPA REGION,"Ginger, Hawaiian",2023 February,24.03,2/1/2023,25
MIMAROPA REGION,"Ginger, Hawaiian",2023 March,23.42,3/1/2023,26
MIMAROPA REGION,"Ginger, Hawaiian",2023 April,23.1,4/1/2023,27
MIMAROPA REGION,"Ginger, Hawaiian",2023 May,22.96,5/1/2023,28
MIMAROPA REGION,"Ginger, Hawaiian",2023 June,23.91,6/1/2023,29
MIMAROPA REGION,"Ginger, Hawaiian",2023 July,22.46,7/1/2023,30
MIMAROPA REGION,"Ginger, Hawaiian",2023 August,25.08,8/1/2023,31
MIMAROPA REGION,"Ginger, Hawaiian",2023 September,24.59,9/1/2023,32
MIMAROPA REGION,"Ginger, Hawaiian",2023 October,28.6,10/1/2023,33
MIMAROPA REGION,"Ginger, Hawaiian",2023 November,24.7,11/1/2023,34
MIMAROPA REGION,"Ginger, Hawaiian",2023 December,26.45,12/1/2023,35
MIMAROPA REGION,"Ginger, Hawaiian",2024 January,27.5,1/1/2024,36
MIMAROPA REGION,"Ginger, Hawaiian",2024 February,25,2/1/2024,37
MIMAROPA REGION,"Ginger, Hawaiian",2024 March,22.5,3/1/2024,38
MIMAROPA REGION,"Ginger, Hawaiian",2024 April,25,4/1/2024,39
MIMAROPA REGION,"Ginger, Hawaiian",2024 May,25,5/1/2024,40
MIMAROPA REGION,"Ginger, Hawaiian",2024 June,30,6/1/2024,41
MIMAROPA REGION,"Ginger, Hawaiian",2024 July,30,7/1/2024,42
MIMAROPA REGION,"Ginger, Hawaiian",2024 August,27.5,8/1/2024,43
MIMAROPA REGION,"Ginger, Hawaiian",2024 September,28.5,9/1/2024,44
MIMAROPA REGION,"Ginger, Hawaiian",2024 October,20,10/1/2024,45
MIMAROPA REGION,"Ginger, Hawaiian",2024 November,25,11/1/2024,46
MIMAROPA REGION,"Ginger, Hawaiian",2024 December,25,12/1/2024,47
MIMAROPA REGION,"Ginger, Hawaiian",2025 January,30,1/1/2025,48
MIMAROPA REGION,"Ginger, Hawaiian",2025 February,28,2/1/2025,49
MIMAROPA REGION,"Ginger, Hawaiian",2025 March,22,3/1/2025,50
MIMAROPA REGION,"Ginger, Hawaiian",2025 April,30,4/1/2025,51
MIMAROPA REGION,"Ginger, Hawaiian",2025 May,30,5/1/2025,52
MIMAROPA REGION,"Ginger, Hawaiian",2025 June,35,6/1/2025,53
MIMAROPA REGION,"Ginger, Hawaiian",2025 July,30,7/1/2025,54
MIMAROPA REGION,"Ginger, Hawaiian",2025 August,30,8/1/2025,55
MIMAROPA REGION,"Ginger, Hawaiian",2025 September,35,9/1/2025,56
MIMAROPA REGION,"Ginger, Hawaiian",2025 October,37.5,10/1/2025,57
MIMAROPA REGION,"Ginger, Hawaiian",2025 November,35,11/1/2025,58
MIMAROPA REGION,"Ginger, Hawaiian",2025 December,35,12/1/2025,59
MIMAROPA REGION,"Ginger, Native",2021 January,80,1/1/2021,0
MIMAROPA REGION,"Ginger, Native",2021 February,61.1,2/1/2021,1
MIMAROPA REGION,"Ginger, Native",2021 March,71.32,3/1/2021,2
MIMAROPA REGION,"Ginger, Native",2021 April,75.35,4/1/2021,3
MIMAROPA REGION,"Ginger, Native",2021 May,81.29,5/1/2021,4
MIMAROPA REGION,"Ginger, Native",2021 June,96.05,6/1/2021,5
MIMAROPA REGION,"Ginger, Native",2021 July,82.64,7/1/2021,6
MIMAROPA REGION,"Ginger, Native",2021 August,60.89,8/1/2021,7
MIMAROPA REGION,"Ginger, Native",2021 September,84.08,9/1/2021,8
MIMAROPA REGION,"Ginger, Native",2021 October,75.71,10/1/2021,9
MIMAROPA REGION,"Ginger, Native",2021 November,60.85,11/1/2021,10
MIMAROPA REGION,"Ginger, Native",2021 December,51.09,12/1/2021,11
MIMAROPA REGION,"Ginger, Native",2022 January,42.63,1/1/2022,12
MIMAROPA REGION,"Ginger, Native",2022 February,49.9,2/1/2022,13
MIMAROPA REGION,"Ginger, Native",2022 March,47.78,3/1/2022,14
MIMAROPA REGION,"Ginger, Native",2022 April,49.6,4/1/2022,15
MIMAROPA REGION,"Ginger, Native",2022 May,53.09,5/1/2022,16
MIMAROPA REGION,"Ginger, Native",2022 June,52.18,6/1/2022,17
MIMAROPA REGION,"Ginger, Native",2022 July,46.1,7/1/2022,18
MIMAROPA REGION,"Ginger, Native",2022 August,54.17,8/1/2022,19
MIMAROPA REGION,"Ginger, Native",2022 September,51.99,9/1/2022,20
MIMAROPA REGION,"Ginger, Native",2022 October,57.36,10/1/2022,21
MIMAROPA REGION,"Ginger, Native",2022 November,60.48,11/1/2022,22
MIMAROPA REGION,"Ginger, Native",2022 December,62.19,12/1/2022,23
MIMAROPA REGION,"Ginger, Native",2023 January,53.44,1/1/2023,24
MIMAROPA REGION,"Ginger, Native",2023 February,43.32,2/1/2023,25
MIMAROPA REGION,"Ginger, Native",2023 March,31.41,3/1/2023,26
MIMAROPA REGION,"Ginger, Native",2023 April,31.33,4/1/2023,27
MIMAROPA REGION,"Ginger, Native",2023 May,36.24,5/1/2023,28
MIMAROPA REGION,"Ginger, Native",2023 June,30.78,6/1/2023,29
MIMAROPA REGION,"Ginger, Native",2023 July,32.61,7/1/2023,30
MIMAROPA REGION,"Ginger, Native",2023 August,39.89,8/1/2023,31
MIMAROPA REGION,"Ginger, Native",2023 September,53.57,9/1/2023,32
MIMAROPA REGION,"Ginger, Native",2023 October,51.74,10/1/2023,33
MIMAROPA REGION,"Ginger, Native",2023 November,51.77,11/1/2023,34
MIMAROPA REGION,"Ginger, Native",2023 December,45.44,12/1/2023,35
MIMAROPA REGION,"Ginger, Native",2024 January,40,1/1/2024,36
MIMAROPA REGION,"Ginger, Native",2024 February,45,2/1/2024,37
MIMAROPA REGION,"Ginger, Native",2024 March,40,3/1/2024,38
MIMAROPA REGION,"Ginger, Native",2024 April,46.68,4/1/2024,39
MIMAROPA REGION,"Ginger, Native",2024 May,50,5/1/2024,40
MIMAROPA REGION,"Ginger, Native",2024 June,50,6/1/2024,41
MIMAROPA REGION,"Ginger, Native",2024 July,58.21,7/1/2024,42
MIMAROPA REGION,"Ginger, Native",2024 August,54.8,8/1/2024,43
MIMAROPA REGION,"Ginger, Native",2024 September,50,9/1/2024,44
MIMAROPA REGION,"Ginger, Native",2024 October,80,10/1/2024,45
MIMAROPA REGION,"Ginger, Native",2025 February,115.87,2/1/2025,49
MIMAROPA REGION,"Ginger, Native",2025 March,89.25,3/1/2025,50
MIMAROPA REGION,"Ginger, Native",2025 April,20,4/1/2025,51
MIMAROPA REGION,"Ginger, Native",2025 May,65,5/1/2025,52
MIMAROPA REGION,"Ginger, Native",2025 June,65,6/1/2025,53
MIMAROPA REGION,"Ginger, Native",2025 July,90,7/1/2025,54
MIMAROPA REGION,"Ginger, Native",2025 August,60,8/1/2025,55
MIMAROPA REGION,"Ginger, Native",2025 September,60,9/1/2025,56
MIMAROPA REGION,"Ginger, Native",2025 October,50,10/1/2025,57
MIMAROPA REGION,"Ginger, Native",2025 November,40,11/1/2025,58
MIMAROPA REGION,"Ginger, Native",2025 December,63.33,12/1/2025,59
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2021 February,60,2/1/2021,1
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2021 March,41.02,3/1/2021,2
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2021 April,39.94,4/1/2021,3
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2021 May,50.91,5/1/2021,4
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2021 June,46.42,6/1/2021,5
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2022 January,125.65,1/1/2022,12
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2022 February,24.02,2/1/2022,13
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2022 March,16.68,3/1/2022,14
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2022 April,22.66,4/1/2022,15
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2022 May,25.54,5/1/2022,16
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2022 June,31.26,6/1/2022,17
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2023 January,150.43,1/1/2023,24
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2023 February,64.3,2/1/2023,25
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2023 March,46.45,3/1/2023,26
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2023 April,63.79,4/1/2023,27
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2023 May,60.31,5/1/2023,28
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2024 February,34,2/1/2024,37
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2024 March,32.59,3/1/2024,38
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2024 April,40,4/1/2024,39
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2024 May,50,5/1/2024,40
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2025 February,44.27,2/1/2025,49
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2025 March,43.62,3/1/2025,50
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2025 April,45.1,4/1/2025,51
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2025 May,47,5/1/2025,52
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2025 August,51.89,8/1/2025,55
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2025 October,53.51,10/1/2025,57
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2025 November,52.5,11/1/2025,58
MIMAROPA REGION,"Onion, red shallot (Sibuyas Tagalog)",2021 March,80,3/1/2021,2
MIMAROPA REGION,"Onion, red shallot (Sibuyas Tagalog)",2023 February,116.67,2/1/2023,25
MIMAROPA REGION,"Onion, red shallot (Sibuyas Tagalog)",2024 February,54.74,2/1/2024,37
MIMAROPA REGION,"Onion, red shallot (Sibuyas Tagalog)",2024 March,55,3/1/2024,38
MIMAROPA REGION,"Onion, red shallot (Sibuyas Tagalog)",2024 April,18.56,4/1/2024,39
MIMAROPA REGION,"Onion, red shallot (Sibuyas Tagalog)",2025 March,44,3/1/2025,50
MIMAROPA REGION,"Onion, red shallot (Sibuyas Tagalog)",2025 April,45,4/1/2025,51
MIMAROPA REGION,"Onion, red shallot (Sibuyas Tagalog)",2025 May,50,5/1/2025,52
MIMAROPA REGION,"Onion, red shallot (Sibuyas Tagalog)",2025 November,92.41,11/1/2025,58
MIMAROPA REGION,"Onion, yellow granex (Bermuda white)",2025 April,60,4/1/2025,51
MIMAROPA REGION,"Onion, yellow granex (Bermuda white)",2025 May,65,5/1/2025,52
MIMAROPA REGION,Paminta [Black pepper],2021 January,313.33,1/1/2021,0
MIMAROPA REGION,Paminta [Black pepper],2021 February,263.01,2/1/2021,1
MIMAROPA REGION,Paminta [Black pepper],2021 March,282.22,3/1/2021,2
MIMAROPA REGION,Paminta [Black pepper],2021 April,289.62,4/1/2021,3
MIMAROPA REGION,Paminta [Black pepper],2021 May,293.4,5/1/2021,4
MIMAROPA REGION,Paminta [Black pepper],2021 June,296.05,6/1/2021,5
MIMAROPA REGION,Paminta [Black pepper],2021 July,327.94,7/1/2021,6
MIMAROPA REGION,Paminta [Black pepper],2021 August,267.06,8/1/2021,7
MIMAROPA REGION,Paminta [Black pepper],2021 September,285.09,9/1/2021,8
MIMAROPA REGION,Paminta [Black pepper],2021 October,262.04,10/1/2021,9
MIMAROPA REGION,Paminta [Black pepper],2021 November,227.18,11/1/2021,10
MIMAROPA REGION,Paminta [Black pepper],2021 December,264.83,12/1/2021,11
MIMAROPA REGION,Paminta [Black pepper],2022 January,293.08,1/1/2022,12
MIMAROPA REGION,Paminta [Black pepper],2022 February,289.72,2/1/2022,13
MIMAROPA REGION,Paminta [Black pepper],2022 March,212.88,3/1/2022,14
MIMAROPA REGION,Paminta [Black pepper],2022 April,268.62,4/1/2022,15
MIMAROPA REGION,Paminta [Black pepper],2022 May,265.46,5/1/2022,16
MIMAROPA REGION,Paminta [Black pepper],2022 June,244.68,6/1/2022,17
MIMAROPA REGION,Paminta [Black pepper],2022 July,288.57,7/1/2022,18
MIMAROPA REGION,Paminta [Black pepper],2022 August,311.77,8/1/2022,19
MIMAROPA REGION,Paminta [Black pepper],2022 September,267.27,9/1/2022,20
MIMAROPA REGION,Paminta [Black pepper],2022 October,268.1,10/1/2022,21
MIMAROPA REGION,Paminta [Black pepper],2022 November,273.73,11/1/2022,22
MIMAROPA REGION,Paminta [Black pepper],2022 December,279.73,12/1/2022,23
MIMAROPA REGION,Paminta [Black pepper],2023 January,330.61,1/1/2023,24
MIMAROPA REGION,Paminta [Black pepper],2023 February,311.8,2/1/2023,25
MIMAROPA REGION,Paminta [Black pepper],2023 March,288.96,3/1/2023,26
MIMAROPA REGION,Paminta [Black pepper],2023 April,267.08,4/1/2023,27
MIMAROPA REGION,Paminta [Black pepper],2023 May,226.79,5/1/2023,28
MIMAROPA REGION,Paminta [Black pepper],2023 June,257.96,6/1/2023,29
MIMAROPA REGION,Paminta [Black pepper],2023 July,309.29,7/1/2023,30
MIMAROPA REGION,Paminta [Black pepper],2023 August,295.33,8/1/2023,31
MIMAROPA REGION,Paminta [Black pepper],2023 September,293.49,9/1/2023,32
MIMAROPA REGION,Paminta [Black pepper],2023 October,297.14,10/1/2023,33
MIMAROPA REGION,Paminta [Black pepper],2023 November,316.89,11/1/2023,34
MIMAROPA REGION,Paminta [Black pepper],2023 December,313.87,12/1/2023,35
MIMAROPA REGION,Paminta [Black pepper],2024 January,330,1/1/2024,36
